pchembl_value,canonical_smiles
5.3,O=C(CC1C(=O)N(c2ccc(Cl)cc2)C(=S)N1CCc1ccncc1)Nc1ccc(F)cc1
7.1,O=C(c1c[nH]c(=O)n(-c2ccccc2)c1=O)N1CCc2ccccc21
4.6,CN1C[C@@H](CS(=O)(=O)N(C)C)C[C@H]2c3cccc4c3c(cn4C)C[C@@H]21
5.1,CCC/C=C(\CCC)C(NS(=O)(=O)c1ccc(C(F)(F)F)cc1)c1ccccc1
5.45,O=C(Nc1ccccc1)N1CCSc2cc(Cl)ccc21
5.8,CN(C)c1ccc(/C=N\NC(=O)c2cnc3ccccc3c2)cc1
5.3,Cc1noc(C)c1-c1nc(NC2CCNCC2)c2ccccc2n1
4.9,CCNc1ncc2nc(-c3ccc(Cl)cc3)c(=O)n(Cc3ccc(F)cc3)c2n1
4.9,COc1ccc(Oc2ncc3nc(CCc4ccccc4)c(=O)n(C4CC4)c3n2)cc1
5.7,COc1ccc(Oc2ncc3nc(-c4ccc(F)cc4)c(=O)n(C)c3n2)cc1
5.45,COC(=O)Cn1cc(/C=N/NC(=O)c2ccc(C#N)cc2F)c2ccccc21
